SP ID,EgoNetworksCombined,Full Name,Occupation,Political rank,Military rank,Aristo title,Clerical title,Knowledge Network,Social Network,Professional Network,Religious Network,Academies,Royal Academy,Institut de France,Academy_single,Academiy_single_provincial,Salons,Freemason,Jacobin,SociÈtÈ des Trente,Lodge,GenderGroup,Nationality,Birth Year,Death Year,Birth City,Birth Country,Death City,Death Country,LockeNet,ASmithNet,VoltaireNet,RousseauNet,D'AlembertNet,HumeNet,BenthamNet,Column6,Wikipedia Image Link,VIAF ID,VIAF URL,RecipientLetterCount by EE ID,AuthorLetterCount by EE ID,Total Letters
1019,"Voltaire, D'Alembert",Pierre Louis Moreau de Maupertuis,"academy member,scientist,astronomer,mathematician,biologist",,,,,"Sciences_Natural, Sciences_Mathematical, Sciences, Letters_Philosophical",Elite,Cultural,,"Royal Society, AcadÈmie des sciences, French Academy, Berlin Academy, St Petersburg Academy, Royal Swedish Academy",Yes,,,,"Geoffrin, Richelieu_Arcueil, Graffigny_SaintAntoine, Graffigny_dEnfer, Dupin",,,,,Male,French,1698,1759,Saint-Malo,France,Basle,Switzerland, , ,Voltaire, ,D'Alembert, , ,,upload.wikimedia.org/wikipedia/commons/2/20/PierreLouisMaupertuis.jpg,95152459,http://viaf.org/95152459,148,12,160
1020,Dupin,"Mary Hervey, Baroness Hervey","courtier,aristocrat",,,,,,"Nobility, Court, Elite",,,,,,,,Dupin,,,,,Female,English,1700,1768,,England,,unknown, , , , , , , ,,,,,0,4,4
1021,Dupin,"George Berkeley, bishop of Cloyne","churchman,philosopher",,,,,Letters_Philosophical,Elite,,Clergy,,,,,,"Dupin, Bolingbroke",,,,,Male,Irish,1685,1753,near Dysert Castle,Ireland,Oxford,England, , , , , , , ,,upload.wikimedia.org/wikipedia/commons/thumb/5/5d/John_Smibert_-_Bishop_George_Berkeley_-_Google_Art_Project.jpg/220px-John_Smibert_-_Bishop_George_Berkeley_-_Google_Art_Project.jpg,100192823,http://viaf.org/100192823,1,3,4
1022,"Voltaire, Dupin, Bolingbroke, Entresol, Tencin","Henry St John, 1st Viscount Bolingbroke","diplomat,politician,author",diplomat,,,,"Letters_Literary, Letters","Government, Nobility, Elite",,,,,,,,"Dupin, Bolingbroke, Entresol, Tencin",,,,,Male,English,1678,1751,Wiltshire,England,London,England, , ,Voltaire, , , , ,,upload.wikimedia.org/wikipedia/commons/thumb/e/ed/1stViscountBolingbroke.jpg/250px-1stViscountBolingbroke.jpg,61539796,http://viaf.org/61539796,18,52,70
1023,"Voltaire, Dupin, Graffigny, Quinault, Epinay",Claude Henri de FuzÈe de Voisenon,"academy member,churchman",,,,,Letters_Literary,"Elite, Nobility",Cultural,Catholic_Clergy,French Academy,Yes,,Yes,,"Dupin, Graffigny, Quinault, Epinay",,,,,Male,French,1708,1775,Paris,France,ch‚teau de Voisenon,France, , ,Voltaire, , , , ,,http://upload.wikimedia.org/wikipedia/commons/9/96/Voisenon_1.jpg,21146,http://viaf.org/21146,17,5,22
1024,"Voltaire, Dupin, Graffigny, Tencin, Geoffrin, Deffand",Bernard Le Bovier de Fontenelle,"academy member,poet,author,philosopher",,,,,"Letters_Literary, Letters_Philosophical, Sciences","Elite, Nobility","Artist, Cultural",,"French Academy, AcadÈmie des sciences, Academy of Inscriptions, Royal Society, Academy of Stanislas, Academy of Rouen",Yes,,,,"Dupin, Graffigny, Tencin, Geoffrin, Deffand",,,,,Male,French,1657,1757,,France,,unknown, , ,Voltaire, , , , ,,upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Fontenelle_2.jpg/220px-Fontenelle_2.jpg,99744686,http://viaf.org/99744686,1,0,1
1025,"Voltaire, Rousseau, Dupin, Lespinasse, Geoffrin, Holbach",…tienne Bonnot de Condillac,philosopher,,,,abbÈ,Letters_Philosophical,,,Catholic_Clergy,"French Academy, Academy of Lyon",Yes,,,,"Dupin, Lespinasse, Geoffrin, Holbach",,,,,Male,French,1715,1780,Grenoble,France,,unknown, , ,Voltaire,Rousseau, , , ,,http://upload.wikimedia.org/wikipedia/commons/8/8b/Etienne_Bonnot_de_Condillac.jpg,9844868,http://viaf.org/9844868,2,2,4
1026,"Voltaire, Rousseau, Encyclopedistes, Dupin, Necker, Lespinasse, Holbach","Georges Louis Leclerc, comte de Buffon","academy member,scientist,author,naturalist",,,comte,,"Letters_Literary, Sciences_Natural, Sciences_Mathematical","Nobility, Elite, Government",Cultural,,"French Academy, Royal Society, AcadÈmie des sciences, Royal_Society_Edinburgh, Academy of Stanislas, AcadÈmie d'agriculture, Academy of Dijon",Yes,,,,"Dupin, Necker, Lespinasse, Holbach",,,,,Male,French,1707,1788,Montbard,France,Paris,France, , ,Voltaire,Rousseau, , , ,,upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Buffon_1707-1788.jpg/220px-Buffon_1707-1788.jpg,36915547,http://viaf.org/36915547,1,3,4
1027,"Voltaire, Dupin, Tencin",Antoine François PrÈvost d'Exiles,"journalist,author,novelist",,,,,Letters_Literary,Elite,"Artist, Cultural",Catholic_Clergy,,,,,,"Dupin, Tencin",,,,,Male,French,1697,1763,Hesdin,France,Courteuil,France, , ,Voltaire, , , , ,,http://upload.wikimedia.org/wikipedia/commons/6/6e/Antoine_Fran%C3%A7ois_Pr%C3%A9vost.jpg,17228264,http://viaf.org/17228264,3,3,6
1028,"Voltaire, Rousseau, Dupin, Tencin",Louise Marie Madeleine Dupin,financier's wife,,,,,Letters,Elite,,,,,,,,"Dupin, Tencin",,,,,Female,French,1706,1799,Paris,France,Ch‚teau de Chenonceau,France, , ,Voltaire,Rousseau, , , ,,,,,31,3,34
